title,url
Pendleburys offload home in ‘bittersweet’ sale,https://www.realestate.com.au/news/scott-and-alex-pendlebury-say-bitter-sweet-goodbye-to-stylish-elwood-house/?rsf=syn:news:nca:news:spa:strap
Kerr nabs $208m compound after long wait,https://www.realestate.com.au/news/miranda-kerr-and-evan-spiegel-wait-nearly-two-years-to-secure-2084m-la-compound/?rsf=syn:news:nca:news:spa:strap
‘Best kept secret’: Bach star’s surgery reveal,https://www.news.com.au/lifestyle/real-life/news-life/my-best-kept-secret-brooke-blurtons-cosmetic-surgery-reveal/news-story/f14aa2b759800b23968e4ffe31fc0edb
Baffling Bunnings mystery solved,https://www.news.com.au/lifestyle/real-life/news-life/mindblowing-mystery-about-bunnings-apron-pocket-solved/news-story/a5760366b15c9520fcaa8df805d206cd
Downside to fling with ‘much younger man’,https://www.news.com.au/lifestyle/relationships/dating/a-younger-man-might-have-a-high-libido-but-theres-a-big-downside/news-story/83b72093635c5160f12069ab0ec3ad47
Tiff Hall’s ‘real’ gym selfie praised,https://www.news.com.au/lifestyle/fitness/inspiration/tiffiny-hall-praised-for-keeping-it-real-with-mum-body-gym-selfie/news-story/b5575b89e2a2e97228465987ad4967f7
Model’s ‘sizzling’ skin-tight dress turns heads,https://www.news.com.au/lifestyle/fashion/fashion-shows/the-best-fashion-looks-from-david-jones-ss22-runway-show/news-story/5721d0b77f2946d894757f9bacd1dceb
Awkward money question to ask your boss,https://www.seek.com.au/career-advice/article/7-things-you-wish-you-could-tell-your-boss?tracking=DAC-NAS-NCS_2020-24332&utm_campaign=NCS_2020&utm_source=Newcorp&utm_medium=Display&utm_content=Vis_CA_AO_WR
My wife wants to get rid of my creepy doll,https://www.kidspot.com.au/lifestyle/entertainment/man-claims-antique-doll-is-haunted-and-has-possessed-his-daughters-doll/news-story/304de5b08ccd8e0ab9c46ced6eb5946a
‘Handy’ feature of bestselling air fryer,https://www.news.com.au/best-of/home/best-air-fryer-australia-how-to-pick-the-best-model-for-you/news-story/9c64205c2112fefc037744469983658e
Plane’s terrifying ‘lowest ever’ landing,https://www.news.com.au/travel/travel-updates/health-safety/incredible-moment-plane-barely-misses-beachgoers-as-it-makes-lowest-ever-landing/news-story/b3fb0af3145d56c8c485bfecb4f69517
Italians will hate you for doing these things,https://www.news.com.au/travel/travel-updates/warnings/things-italians-want-tourists-to-stop-doing/news-story/c7c55924afc06cb2b6b84a597b633ae5
Fury as teens rejected from water park,https://www.news.com.au/travel/travel-updates/incidents/family-accuses-water-park-of-racism-after-teens-pool-party-cancelled/news-story/a207d76e09fafef07dd1347789cb488e
Single reason Aussie backpacker denied $80k,https://www.news.com.au/travel/travel-updates/incidents/aussie-falls-four-storeys-denied-80000-insurance-claim/news-story/caf9b7a0e6f8c7a48d10c79202b4f3a3
Qantas blasts workers for ‘token’ strike,https://www.news.com.au/travel/travel-updates/qantas-and-jetstar-engineer-union-promise-strike-wont-hurt-customers/news-story/6f8a99d231cafab5f0b8a36f6cf834cc
Troubled actor linked to missing family case,https://www.news.com.au/entertainment/celebrity-life/flash-star-ezra-miller-linked-to-mum-and-three-kids-reportedly-missing-in-vermont/news-story/2b1bbfc370245f8e51b1d19a560c8b7f
Lizzo bares bum in close-up beach snap,https://www.news.com.au/entertainment/celebrity-life/celebrity-photos/lizzo-bares-whole-bum-in-cheeky-beach-holiday-photo-shoot/news-story/57741ecaa6f0106ad47e9642f47e64f3
Spears’ ex posts explosive private videos,https://www.news.com.au/entertainment/celebrity-life/kevin-federline-posts-private-videos-of-britney-spears-arguing-with-her-children/news-story/8f554413e6629c63a011ddf5cbeeae9f
Sinister reason not to watch ONJ’s Grease,https://www.news.com.au/entertainment/celebrity-life/celebrity-deaths/rewatching-olivia-newtonjohn-in-grease-gave-me-the-ick/news-story/69ce0eaead02ae31ddf1a6f639a518d3
Utterly captivating new movie spectacle,https://www.news.com.au/entertainment/movies/movie-reviews/nope-is-all-about-the-spectacle/news-story/57416ee8e5bd318d9c3ecbf0f6b40ab3
Sick fake email leads to police raid,https://www.news.com.au/technology/gaming/police-raid-trans-streamers-home-due-to-false-report/news-story/6cf86788aa2ef286735a0cd302727270
"Subaru recalls 80,000 cars for brake fault",https://www.news.com.au/technology/motoring/motoring-news/subaru-recalls-80000-cars-to-address-parking-brake-fault/news-story/ac77576c7eec5c1439736b951f79da9f
Suspected QAnon leader pops up in Australia,https://www.news.com.au/technology/online/internet/suspected-qanon-leader-ron-watkins-spotted-in-sydney-australia-father-confirms-move/news-story/f911c9ce7e70c0159f12381bf5a6cc39
Crazy Kiwi machine ‘faster than F1 car’,https://www.news.com.au/technology/motoring/hitech/rodins-v10-supercar-will-be-faster-than-f1/news-story/ab59d988730fbb45959cac25854180b4
$500 off: Samsung Galaxy Z Series pre-orders,https://www.news.com.au/best-of/electronics/gadgets/samsung-galaxy-z-series-2022-buying-guide/news-story/2ca19ed0768bbe77853288858b2c1a9c
Big city that is refusing to go to work,https://www.news.com.au/finance/work/at-work/melbournes-shock-office-occupancy-rate-revealed/news-story/8a6bb3063ceb5daa32b09a58e66053bd
Heartwarming detail in job ad,https://www.news.com.au/finance/work/careers/heartwarming-detail-in-job-ad-brings-me-hope/news-story/586be592f931c8ef977b07c02679cb57
Pub staff fired after spat with neo-Nazi,https://www.news.com.au/finance/business/melbourne-pub-staff-fired-for-spitting-in-neonazis-beer-during-confrontation-over-tattoo/news-story/4f75b020999532743a3cf2ec5d3d0a34
